Race UID,Year,Start Date,End Date,Race Class,Race Name,Race Pcs ID,Race Pcs Url
tour-down-under:2026,2026,2026-01-20,2026-01-25,2.UWT,Santos Tour Down Under,tour-down-under,https://www.procyclingstats.com/race/tour-down-under/2026
uae-tour:2026,2026,2026-02-16,2026-02-22,2.UWT,UAE Tour,uae-tour,https://www.procyclingstats.com/race/uae-tour/2026
paris-nice:2026,2026,2026-03-08,2026-03-15,2.UWT,Paris-Nice,paris-nice,https://www.procyclingstats.com/race/paris-nice/2026
tirreno-adriatico:2026,2026,2026-03-09,2026-03-15,2.UWT,Tirreno-Adriatico,tirreno-adriatico,https://www.procyclingstats.com/race/tirreno-adriatico/2026
volta-a-catalunya:2026,2026,2026-03-23,2026-03-29,2.UWT,Volta Ciclista a Catalunya,volta-a-catalunya,https://www.procyclingstats.com/race/volta-a-catalunya/2026
itzulia-basque-country:2026,2026,2026-04-06,2026-04-11,2.UWT,Itzulia Basque Country,itzulia-basque-country,https://www.procyclingstats.com/race/itzulia-basque-country/2026
tour-de-romandie:2026,2026,2026-04-28,2026-05-03,2.UWT,Tour de Romandie,tour-de-romandie,https://www.procyclingstats.com/race/tour-de-romandie/2026
giro-d-italia:2026,2026,2026-05-08,2026-05-31,2.UWT,Giro d'Italia,giro-d-italia,https://www.procyclingstats.com/race/giro-d-italia/2026
dauphine:2026,2026,2026-06-07,2026-06-14,2.UWT,Tour Auvergne - Rhône-Alpes,dauphine,https://www.procyclingstats.com/race/dauphine/2026
tour-de-suisse:2026,2026,2026-06-17,2026-06-21,2.UWT,Tour de Suisse,tour-de-suisse,https://www.procyclingstats.com/race/tour-de-suisse/2026
tour-de-france:2026,2026,2026-07-04,2026-07-26,2.UWT,Tour de France,tour-de-france,https://www.procyclingstats.com/race/tour-de-france/2026
tour-de-pologne:2026,2026,2026-08-03,2026-08-09,2.UWT,Tour de Pologne,tour-de-pologne,https://www.procyclingstats.com/race/tour-de-pologne/2026
renewi-tour:2026,2026,2026-08-19,2026-08-23,2.UWT,Renewi Tour,renewi-tour,https://www.procyclingstats.com/race/renewi-tour/2026
vuelta-a-espana:2026,2026,2026-08-22,2026-09-13,2.UWT,La Vuelta Ciclista a España,vuelta-a-espana,https://www.procyclingstats.com/race/vuelta-a-espana/2026
tour-of-guangxi:2026,2026,2026-10-13,2026-10-18,2.UWT,Tour of Guangxi,tour-of-guangxi,https://www.procyclingstats.com/race/tour-of-guangxi/2026
