Year,Pcs Id,Name,Classification,Pcs Url,Jersey Image Pcs Url,Previous Pcs Id,Next Pcs Id
2026,alpecin-premier-tech-2026,Alpecin-Premier Tech,WT,https://www.procyclingstats.com/team/alpecin-premier-tech-2026,,,
2026,australia-2026,Australia,NAT,https://www.procyclingstats.com/team/australia-2026,,,
2026,bahrain-victorious-2026,Bahrain - Victorious,WT,https://www.procyclingstats.com/team/bahrain-victorious-2026,,,
2026,bardiani-csf-7-saber-2026,Bardiani CSF 7 Saber,PRT,https://www.procyclingstats.com/team/bardiani-csf-7-saber-2026,,,
2026,burgos-burpellet-bh-2026,Burgos Burpellet BH,PRT,https://www.procyclingstats.com/team/burgos-burpellet-bh-2026,,,
2026,caja-rural-seguros-rga-2026,Caja Rural - Seguros RGA,PRT,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026,,,
2026,cofidis-2026,Cofidis,PRT,https://www.procyclingstats.com/team/cofidis-2026,,,
2026,decathlon-cma-cgm-team-2026,Decathlon CMA CGM Team,WT,https://www.procyclingstats.com/team/decathlon-cma-cgm-team-2026,,,
2026,ef-education-easypost-2026,EF Education - EasyPost,WT,https://www.procyclingstats.com/team/ef-education-easypost-2026,,,
2026,equipo-kern-pharma-2026,Equipo Kern Pharma,PRT,https://www.procyclingstats.com/team/equipo-kern-pharma-2026,,,
2026,euskaltel-euskadi-2026,Euskaltel - Euskadi,PRT,https://www.procyclingstats.com/team/euskaltel-euskadi-2026,,,
2026,groupama-fdj-united-2026,Groupama - FDJ United,WT,https://www.procyclingstats.com/team/groupama-fdj-united-2026,,,
2026,ineos-grenadiers-2026,INEOS Grenadiers,WT,https://www.procyclingstats.com/team/ineos-grenadiers-2026,,,
2026,lidl-trek-2026,Lidl - Trek,WT,https://www.procyclingstats.com/team/lidl-trek-2026,,,
2026,lotto-intermarche-2026,Lotto Intermarché,WT,https://www.procyclingstats.com/team/lotto-intermarche-2026,,,
2026,modern-adventure-pro-cycling-2026,Modern Adventure Pro Cycling,PRT,https://www.procyclingstats.com/team/modern-adventure-pro-cycling-2026,,,
2026,movistar-team-2026,Movistar Team,WT,https://www.procyclingstats.com/team/movistar-team-2026,,,
2026,nsn-cycling-team-2026,NSN Cycling Team,WT,https://www.procyclingstats.com/team/nsn-cycling-team-2026,,,
2026,pinarello-q365-pro-cycling-team-2026,Pinarello Q36.5 Pro Cycling Team,PRT,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026,,,
2026,red-bull-bora-hansgrohe-2026,Red Bull - BORA - hansgrohe,WT,https://www.procyclingstats.com/team/red-bull-bora-hansgrohe-2026,,,
2026,solution-tech-nippo-rali-2026,Solution Tech NIPPO Rali,PRT,https://www.procyclingstats.com/team/solution-tech-nippo-rali-2026,,,
2026,soudal-quick-step-2026,Soudal Quick-Step,WT,https://www.procyclingstats.com/team/soudal-quick-step-2026,,,
2026,team-jayco-alula-2026,Team Jayco AlUla,WT,https://www.procyclingstats.com/team/team-jayco-alula-2026,,,
2026,team-picnic-postnl-2026,Team Picnic PostNL,WT,https://www.procyclingstats.com/team/team-picnic-postnl-2026,,,
2026,team-polti-visitmalta-2026,Team Polti VisitMalta,PRT,https://www.procyclingstats.com/team/team-polti-visitmalta-2026,,,
2026,team-visma-lease-a-bike-2026,Team Visma | Lease a Bike,WT,https://www.procyclingstats.com/team/team-visma-lease-a-bike-2026,,,
2026,totalenergies-2026,TotalEnergies,PRT,https://www.procyclingstats.com/team/totalenergies-2026,,,
2026,tudor-pro-cycling-team-2026,Tudor Pro Cycling Team,PRT,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026,,,
2026,uae-team-emirates-xrg-2026,UAE Team Emirates - XRG,WT,https://www.procyclingstats.com/team/uae-team-emirates-xrg-2026,,,
2026,uno-x-mobility-2026,Uno-X Mobility,WT,https://www.procyclingstats.com/team/uno-x-mobility-2026,,,
2026,xds-astana-team-2026,XDS Astana Team,WT,https://www.procyclingstats.com/team/xds-astana-team-2026,,,
